net,length_um
_14312_,151.54
_06355_,151.52
_05978_,151.46
_09466_,151.42
_07672_,151.38
_00682_,151.3
_00830_,150.94
_07397_,150.72
_10347_,150.72
_01776_,150.68
_02967_,150.68
_08957_,150.58
_04894_,150.56
_07514_,150.34
_09469_,150.14
_13099_,150.1
_07165_,150.075
_10122_,150.06
_13196_,150.06
_04202_,150.04
_04420_,150.04
_03325_,149.96
_09485_,149.915
_11102_,149.88
_08429_,149.76
_02394_,149.74
_08803_,149.62
_14335_,149.58
_14322_,149.34
_07848_,148.92
_12089_,148.86
_06886_,148.8
_09093_,148.72
_05773_,148.54
_06429_,148.32
_01655_,148.26
_01264_,148.16
_10777_,148.02
_01125_,148
_13195_,147.93
_09877_,147.78
_09846_,147.74
_07507_,147.49
_02254_,147.42
_11372_,147.42
_14468_,147.42
_03176_,147.36
_00734_,147.32
_01639_,147.315
_02265_,147.17
_09601_,147.02
_03764_,146.88
_12008_,146.58
_01524_,146.575
_05908_,146.52
_08048_,146.47
_10345_,146.47
_03328_,146.22
_06418_,146.1
_10354_,145.98
u_rom2.addr\[1\],145.9
_07239_,145.88
_01568_,145.845
_06459_,145.42
_01642_,145.375
_04745_,145.26
_09826_,145.19
_06504_,145.18
_06425_,145.1
_12582_,145.04
_01111_,145
_02178_,144.94
_07644_,144.88
_03905_,144.85
_07846_,144.77
_06345_,144.68
_07463_,144.63
_07917_,144.6
_06520_,144.32
_06939_,144.235
_06524_,144.2
_04679_,144.14
_03257_,144.06
_10911_,144.06
_12325_,144.04
_01471_,144.02
_03831_,143.98
_01953_,143.94
_03993_,143.85
_07370_,143.74
_07357_,143.64
_14491_,143.64
_01702_,143.32
_01818_,143.32
_11086_,143.275
_03015_,143.22
_13270_,143.12
clknet_leaf_60_clk,143.1
_02504_,143.06
_05810_,143.06
_06874_,143.04
_00859_,143.03
_02367_,143.02
_07376_,142.98
_05334_,142.86
_14432_,142.76
_11026_,142.74
_11237_,142.73
_12136_,142.6
_07719_,142.58
_07881_,142.435
_08804_,142.42
_10813_,142.3
_07890_,142.26
